SERVICE,RESOURCE,AMOUNT,REPR
quilt/mongo,NET,206080.0,RAW
haproxy:1.7,MEMORY,656250000.0,RAW
quilt/mongo,DISK,14680064.0,RAW
node-app:node-todo.git,CPU-QUOTA,80.0,RAW
haproxy:1.7,DISK,14680064.0,RAW
haproxy:1.7,NET,206080.0,RAW
haproxy:1.7,CPU-QUOTA,18.0,RAW
quilt/mongo,CPU-QUOTA,35.0,RAW
node-app:node-todo.git,NET,206080.0,RAW
node-app:node-todo.git,DISK,14680064.0,RAW
quilt/mongo,MEMORY,656250000.0,RAW
node-app:node-todo.git,MEMORY,984375000.0,RAW
